,HEADING_x,CPT_name,Push_no,Depth,SCPT_RES,SCPT_FRES,SCPT_PWP1,SCPT_PWP2,SCPT_PWP3,SCPT_CON,SCPT_TEMP,SCPT_PH,SCPT_SLP1,SCPT_SLP2,SCPT_REDX,SCPT_MAGT,SCPT_MAGX,SCPT_MAGY,SCPT_MAGZ,SCPT_SMP,SCPT_NGAM,SCPT_REM,SCPT_FRR,SCPT_QT,SCPT_FT,SCPT_QE,SCPT_BDEN,SCPT_CPO,SCPT_CPOD,SCPT_QNET,SCPT_FRRC,SCPT_EXPP,SCPT_BQ,SCPT_ISPP,SCPT_NQT,SCPT_NFR,FILE_FSET_x,SCPT_SECS,SCPT_DPPR,SCPT_FFD1,SCPT_FFD2,SCPT_PMT,SCPT_PID,SCPT_FID,SCPT_DECD,SCPT_SWV,SCPT_PWV,Location_ID,HEADING_y,SCPG_TYPE,SCPG_REF,SCPG_CSA,SCPG_RATE,SCPG_FILT,SCPG_FRIC,SCPG_WAT,SCPG_WATA,SCPG_REM,SCPG_ENV,SCPG_CONT,SCPG_METH,SCPG_CRED,SCPG_CAR,SCPG_SLAR,FILE_FSET_y,SCPG_DATE,SCPG_EXC,SCPG_FHL,SCPG_ORNT,SCPG_PED,SCPG_TERM,SCPG_ZLOC,SCPG_ZBC,SCPG_ZAC,SCPG_ZBF,SCPG_ZAF,SCPG_ZBU1,SCPG_ZAU1,SCPG_ZBU2,SCPG_ZAU2,SCPG_ZBU3,SCPG_ZAU3,SCPG_ZBI1,SCPG_ZAI1,SCPG_ZBI2,SCPG_ZAI2,SCPG_CRDT,SCPG_MILE,TEST_STAT,SCPG_CPC,SCPG_CFOS,SCPG_REMS,SCPG_REMP,SCPG_APCL,UNIQUE_GEOL,DEPTH_TOP,DEPTH_BASE,GEOL_UNIT,SOIL_CLASS,UNIT_WEIGHT,K0,Phi,Nkt_UB,Nkt_LB,Kg,inc_sigv0,base_sigv0,Elev,Rf,qt_uncorr,sig_v0,u0,eff_sig_v0,CPT_name_shift,Push_no_shift,u0b,u2_corr,qt_corr,eff_sig_y_UB,eff_sig_y_LB,OCR_UB,OCR_LB,Fr,Bq_uncorr,Bq_corr,n_IC,Qtn,Ic,eff_p,qc/eff_sig_v0^0.5,n_G0,G0_ICP,G0_RS,G0_Baldi,Dr_Baldi,Dr_Jam_dry,Dr_Jam_sat,peak_phi_UB,peak_phi_LB,Su_UB,Su_LB,G0_A,G0_B,G0_C,G0_D,G0_E,Check_push_no
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DATA,BH03-HSINCHU,1.0,0.02,0.042,-0.0001,,0.0042,,,,,-0.4051,-0.9833,,,,,,,,,-0.15,0.0433,,0.0391,1.83,0.36,0.16,0.0429,-0.14,0.004,0.0923,0.0002,261.9415,-0.1431,,,0.092,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.02,-0.23809523809523808,0.043008000000000005,0.39999999999997726,0.2,0.19999999999997725,,,0.2,0.004399999999999999,0.043208,14.12664000000001,4.952363871719227,70.63320000000809,24.76181935859895,-0.23360119603812357,0.09387908374014264,0.0981125023360119,1.0,214.0400000000245,,0.13333333333331818,93.91485505499651,9.39148550549965,,,0.6901151151348354,-13.510756769507637,-34.74260508336282,-35.89295879904757,36.91913945843939,26.10849405226893,2.8538666666666686,2.1404000000000014,2.19089023002054,2.92118697336072,3.6514837167009,4.38178046004108,5.11207720338126,1.0
2,DATA,BH03-HSINCHU,1.0,0.04,0.126,0.0064,,0.0041,,,,,-0.6507,-0.878,,,,,,,,,5.07,0.127,,0.1228,1.83,0.72,0.33,0.1262,5.03,0.0037,0.0296,0.0004,385.3673,5.0626,,,0.029,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.04,5.079365079365079,0.126984,0.799999999999983,0.4,0.3999999999999829,BH03-HSINCHU,1.0,0.2,0.0043,0.12718400000000002,41.70672000000002,10.797740869828093,104.2668000000045,26.994352174571386,5.063932143309278,0.029322259557471628,0.03085833649829092,0.7797746131909811,93.38688642820337,2.4398352371282113,0.2666666666666553,199.22349259061215,19.922349259061214,,,1.3351475509205173,13.975118301760595,-8.399206920845845,-8.823854426922683,39.11800946414085,29.956516562246485,8.425600000000003,6.319200000000002,3.098386676965867,4.13118223595449,5.163977794943111,6.196773353931734,7.229568912920357,0.0
3,DATA,BH03-HSINCHU,1.0,0.06,0.163,0.0068,,0.0029,,,,,-0.6858,-1.0535,,,,,,,,,4.16,0.1641,,0.1612,1.83,1.08,0.49,0.163,4.14,0.0023,0.014,0.0006,331.77,4.171,,,0.014,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.06,4.171779141104294,0.163696,1.1999999999999886,0.6,0.5999999999999887,BH03-HSINCHU,1.0,0.2,0.0031,0.16389600000000001,53.68968000000001,12.951078680127969,89.4828000000017,21.585131133547023,4.179574175148743,0.014154194564789285,0.015366081526282143,0.7680841294885851,82.5311440163033,2.408892532836591,0.3999999999999924,210.4320951439383,21.04320951439383,3.538436233364075,4.820650790514558,1.7770145294993616,15.29552000274837,-6.002100700389171,-6.313177077874194,39.22364160021987,30.141372800384772,10.846400000000001,8.134800000000002,3.7947331922020195,5.059644256269359,6.324555320336699,7.589466384404039,8.854377448471377,0.0
4,DATA,BH03-HSINCHU,1.0,0.08,0.154,0.0073,,0.0049,,,,,-0.6858,-1.0535,,,,,,,,,4.74,0.1553,,0.1504,1.83,1.44,0.66,0.1538,4.7,0.0041,0.0266,0.0008,234.7766,4.7456,,,0.026,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.08,4.740259740259741,0.155176,1.5999999999999943,0.8,0.7999999999999943,BH03-HSINCHU,1.0,0.2,0.0050999999999999995,0.15537600000000001,50.746080000000006,12.435817915006734,63.43260000000046,15.544772393758528,4.74716470710644,0.026696879720789702,0.027962751014462592,0.7982841908132076,72.38782732522549,2.487898736374242,0.5333333333333296,172.17723426748444,17.217723426748442,,,2.0452410780044117,7.057100913031153,-12.391673393664766,-12.976227051373964,38.564568073042494,28.98799412782436,10.251733333333334,7.6888000000000005,4.381780460041313,5.842373946721751,7.302967433402189,8.763560920082625,10.224154406763065,0.0
5,DATA,BH03-HSINCHU,1.0,0.1,0.097,0.0077,,0.0109,,,,,-0.6858,-1.0535,,,,,,,,,7.91,0.0999,,0.089,1.83,1.8,0.82,0.0981,7.7,0.0099,0.1009,0.001,119.7897,7.8433,,,0.099,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.1,7.938144329896907,0.099616,2.0,1.0,1.0,BH03-HSINCHU,1.0,0.2,0.0111,0.099816,32.27928,8.978622633249596,32.27928,8.978622633249596,7.871922793816962,0.10141780036059662,0.10325509119162508,0.8864307786711018,57.89248946889379,2.718995573281858,0.6666666666666666,97.0,9.7,,,2.0458848074378473,-15.355564877507755,-31.475715877272396,-32.54150344343379,36.77155480979938,25.850220917148913,6.521066666666667,4.8908000000000005,4.898979485566356,6.531972647421808,8.16496580927726,9.797958971132712,11.430952132988164,0.0
6,DATA,BH03-HSINCHU,1.0,0.12,0.206,0.0091,,-0.0017,,,,,-0.6858,-1.0535,,,,,,,,,4.41,0.2052,,0.2069,1.83,2.16,0.98,0.2031,4.42,-0.0029,-0.0141,0.0012,206.6135,4.463,,,-0.014,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.12,4.41747572815534,0.205592,2.3999999999999773,1.2,1.1999999999999773,BH03-HSINCHU,1.0,0.2,-0.0014999999999999998,0.205792,67.11936000000001,15.209501340658106,55.93280000000107,12.674584450548661,4.474118942731277,-0.014272215441552816,-0.013274858401510383,0.7966092971146171,68.75641725978899,2.482984636880163,0.7999999999999848,188.0514114101088,18.80514114101088,,,2.745894685757396,9.659313821708087,-8.864321479941733,-9.300615691222172,38.77274510573665,29.35230393503913,13.559466666666669,10.1696,5.366563145999445,7.155417527999259,8.944271909999074,10.73312629199889,12.521980673998703,0.0
7,DATA,BH03-HSINCHU,1.0,0.14,0.203,0.0096,,-0.0244,,,,,-0.6331,-1.1412,,,,,,,,,4.73,0.1973,,0.2217,1.83,2.52,1.15,0.1948,4.87,-0.0258,-0.1323,0.0014,169.8928,4.9304,,,-0.131,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.14,4.7290640394088665,0.197144,2.8000000000000114,1.4000000000000001,1.4000000000000112,BH03-HSINCHU,1.0,0.2,-0.024200000000000003,0.19734400000000002,64.19952,14.730159075875626,45.85679999999964,10.521542197053934,4.934616333580064,-0.13275429135965094,-0.1315897688954684,0.817423994725554,63.587763695867224,2.537357337873325,0.9333333333333408,171.56631370988816,17.156631370988816,,,2.9728885992995915,5.848851612788522,-11.755520887656088,-12.309095842388528,38.46790812902308,28.81883922579039,12.969600000000002,9.7272,5.796550698475799,7.728734264634398,9.660917830792998,11.593101396951598,13.525284963110197,0.0
8,DATA,BH03-HSINCHU,1.0,0.16,0.265,0.0114,,-0.0484,,,,,-0.6331,-1.1412,,,,,,,,,4.32,0.253,,0.3014,1.83,2.88,1.31,0.2501,4.52,-0.0499,-0.1996,0.0016,190.8672,4.5721,,,-0.197,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.16,4.30188679245283,0.253384,3.1999999999999886,1.6,1.5999999999999885,BH03-HSINCHU,1.0,0.2,-0.0482,0.253584,82.62672,17.664905727050826,51.64170000000038,11.040566079406846,4.553006581890217,-0.19985290825952098,-0.19889449805099368,0.7998444194099918,68.21611327438016,2.4909577003358443,1.066666666666659,209.50089498615588,20.95008949861559,5.766648515088238,7.863366431352812,3.424437500283971,13.24661333696307,-4.82648688977902,-5.07613704511649,39.05972906695705,29.85452586717483,16.692266666666665,12.5192,6.196773353931845,8.262364471909127,10.32795558988641,12.39354670786369,14.45913782584097,0.0
9,DATA,BH03-HSINCHU,1.0,0.18,0.318,0.0116,,-0.0578,,,,,-0.6507,-1.1587,,,,,,,,,3.64,0.3046,,0.3624,1.83,3.24,1.47,0.3013,3.81,-0.0596,-0.1978,0.0018,204.4065,3.8495,,,-0.196,,,,,,,,,BH03-HSINCHU,DATA,PC,161206.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.76,0.009,,2022-09-06T02:41,,,,0.0,STROKE,BB,1.196,0.486,0.0,0.0,,,0.866,-0.014,,,,,,,,,Final,,80.0,,,1.0,Sandy Clay_2,0.0,9.9,Sandy Clay,SILT,20.0,0.5,,15.0,20.0,215.0,198.0,198.0,-0.18,3.6477987421383644,0.304128,3.5999999999999943,1.7999999999999998,1.7999999999999945,BH03-HSINCHU,1.0,0.2,-0.0576,0.304328,99.24023999999999,20.155787680378438,55.13346666666683,11.1976598224325,3.857306270117848,-0.1983176276420167,-0.1975206831422415,0.7789136827586741,68.5333750063466,2.435762348062071,1.1999999999999964,237.02320561497805,23.702320561497807,6.457540909814389,8.601734263461521,3.826473679455551,17.750095604508722,-0.4973868765352225,-0.524538530761749,39.420007648360695,30.485013384631223,20.04853333333333,15.036399999999997,6.572670690061984,8.763560920082643,10.954451150103306,13.145341380123968,15.336231610144628,0.0
