,HEADING_x,CPT_name,Push_no,Depth,SCPT_RES,SCPT_FRES,SCPT_PWP1,SCPT_PWP2,SCPT_PWP3,SCPT_CON,SCPT_TEMP,SCPT_PH,SCPT_SLP1,SCPT_SLP2,SCPT_REDX,SCPT_MAGT,SCPT_MAGX,SCPT_MAGY,SCPT_MAGZ,SCPT_SMP,SCPT_NGAM,SCPT_REM,SCPT_FRR,SCPT_QT,SCPT_FT,SCPT_QE,SCPT_BDEN,SCPT_CPO,SCPT_CPOD,SCPT_QNET,SCPT_FRRC,SCPT_EXPP,SCPT_BQ,SCPT_ISPP,SCPT_NQT,SCPT_NFR,FILE_FSET_x,SCPT_SECS,SCPT_DPPR,SCPT_FFD1,SCPT_FFD2,SCPT_PMT,SCPT_PID,SCPT_FID,SCPT_DECD,SCPT_SWV,SCPT_PWV,Location_ID,HEADING_y,SCPG_TYPE,SCPG_REF,SCPG_CSA,SCPG_RATE,SCPG_FILT,SCPG_FRIC,SCPG_WAT,SCPG_WATA,SCPG_REM,SCPG_ENV,SCPG_CONT,SCPG_METH,SCPG_CRED,SCPG_CAR,SCPG_SLAR,FILE_FSET_y,SCPG_DATE,SCPG_EXC,SCPG_FHL,SCPG_ORNT,SCPG_PED,SCPG_TERM,SCPG_ZLOC,SCPG_ZBC,SCPG_ZAC,SCPG_ZBF,SCPG_ZAF,SCPG_ZBU1,SCPG_ZAU1,SCPG_ZBU2,SCPG_ZAU2,SCPG_ZBU3,SCPG_ZAU3,SCPG_ZBI1,SCPG_ZAI1,SCPG_ZBI2,SCPG_ZAI2,SCPG_CRDT,SCPG_MILE,TEST_STAT,SCPG_CPC,SCPG_CFOS,SCPG_REMS,SCPG_REMP,SCPG_APCL,UNIQUE_GEOL,DEPTH_TOP,DEPTH_BASE,GEOL_UNIT,SOIL_CLASS,UNIT_WEIGHT,K0,Phi,Nkt_UB,Nkt_LB,Kg,inc_sigv0,base_sigv0,Elev,Rf,qt_uncorr,sig_v0,u0,eff_sig_v0,CPT_name_shift,Push_no_shift,u0b,u2_corr,qt_corr,eff_sig_y_UB,eff_sig_y_LB,OCR_UB,OCR_LB,Fr,Bq_uncorr,Bq_corr,n_IC,Qtn,Ic,eff_p,qc/eff_sig_v0^0.5,n_G0,G0_ICP,G0_RS,G0_Baldi,Dr_Baldi,Dr_Jam_dry,Dr_Jam_sat,peak_phi_UB,peak_phi_LB,Su_UB,Su_LB,G0_A,G0_B,G0_C,G0_D,G0_E,Check_push_no
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DATA,BH08-HSINCHU,1.0,0.02,0.095,0.0004,,0.0156,,,,,-0.0893,-0.1607,,,,,,,,,0.42,0.098,,0.0824,1.83,0.36,0.16,0.0976,0.41,0.0154,0.1576,0.0002,595.9509,0.4148,,,0.157,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.02,0.42105263157894735,0.097652,0.4000000000000057,0.2,0.20000000000000567,,,0.2,0.015799999999999998,0.09785200000000001,32.15916,8.954553510681695,160.79579999999544,44.772767553407206,0.4104584821245331,0.15835149919795996,0.16007880802856791,100.0,2.8296701865995123e+270,266.98303616259244,0.1333333333333371,212.426457862477,21.242645786247703,2.0516325849609705,2.7897751527546397,0.8532668266659964,17.761552552986405,-7.168035038865947,-7.5411080300926185,39.420924204238915,30.486617357418098,,,2.1908902300206954,2.9211869733609275,3.651483716701159,4.381780460041391,5.112077203381623,1.0
2,DATA,BH08-HSINCHU,1.0,0.04,0.107,0.0017,,0.0165,,,,,-0.0893,-0.1607,,,,,,,,,1.62,0.1095,,0.093,1.83,0.72,0.33,0.1087,1.57,0.0161,0.1477,0.0004,331.9253,1.5847,,,0.147,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.04,1.588785046728972,0.109805,0.8000000000000114,0.4,0.40000000000001135,BH08-HSINCHU,1.0,0.2,0.0167,0.110005,36.03765,9.719618255424113,90.09412499999745,24.29904563855959,1.556705279062314,0.14769964680519243,0.14926056499244542,0.7049195663673244,53.32249888282596,2.2433653152503377,0.2666666666666742,169.18185481900588,16.91818548190059,,,1.279595499447919,7.712548474572438,-13.921270180629783,-14.572311419958053,38.61700387796579,29.079756786440143,,,3.098386676965977,4.131182235954636,5.163977794943295,6.196773353931954,7.229568912920613,0.0
3,DATA,BH08-HSINCHU,1.0,0.06,0.092,0.0029,,0.0149,,,,,-0.1786,-0.1786,,,,,,,,,3.17,0.0943,,0.0794,1.83,1.08,0.49,0.0932,3.08,0.0143,0.1535,0.0006,189.7213,3.1187,,,0.152,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.06,3.152173913043478,0.094533,1.200000000000017,0.6,0.6000000000000171,BH08-HSINCHU,1.0,0.2,0.0151,0.09473300000000001,30.86589,8.69379296428474,51.44314999999854,14.489654940474153,3.1005099804347127,0.15321483291011756,0.15502549902173565,0.7847245871907638,51.67417610898647,2.4525682768383015,0.4000000000000114,118.77148928369243,11.877148928369243,,,1.5314648618079838,-6.618718455402906,-25.32512853004268,-26.301625153920003,37.47050252356777,27.073379416243593,,,3.7947331922021093,5.059644256269479,6.324555320336849,7.5894663844042185,8.854377448471588,0.0
4,DATA,BH08-HSINCHU,1.0,0.08,0.14,0.0034,,0.017,,,,,-0.125,-0.2679,,,,,,,,,2.43,0.1431,,0.1261,1.83,1.44,0.66,0.1416,2.38,0.0162,0.1142,0.0008,216.1564,2.4052,,,0.113,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.08,2.428571428571428,0.14289000000000002,1.6000000000000227,0.8,0.8000000000000227,BH08-HSINCHU,1.0,0.2,0.0172,0.14309000000000002,46.691700000000004,11.712163566207789,58.36462499999835,14.640204457759321,2.402996678210474,0.11465779602236535,0.11590925153721109,0.7521705759612309,53.27739895128077,2.36686564354467,0.5333333333333484,156.52475842498308,15.652475842498307,,,1.995181497416382,3.405369886044782,-15.611611900568183,-16.31353970547211,38.27242959088358,28.476751784046268,,,4.381780460041391,5.842373946721855,7.302967433402318,8.763560920082782,10.224154406763246,0.0
5,DATA,BH08-HSINCHU,1.0,0.1,0.233,0.0024,,0.0171,,,,,-0.1786,-0.25,,,,,,,,,1.05,0.2362,,0.2191,1.83,1.8,0.82,0.2344,1.03,0.0161,0.0688,0.001,286.202,1.0417,,,0.068,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.1,1.0300429184549356,0.235907,2.0,1.0,1.0,BH08-HSINCHU,1.0,0.2,0.0173,0.236107,77.25531000000001,16.830342697293727,77.25531000000001,16.830342697293727,1.025172250295805,0.06883077462410274,0.06962628199925676,0.6697082794432774,50.92638029165626,2.150170115551205,0.6666666666666666,233.0,23.3,4.778032132957576,6.383972866025821,2.5694079638554603,18.2202004505504,-1.870057935977888,-1.9713990447025356,39.45761603604403,30.550828063077056,,,4.898979485566356,6.531972647421808,8.16496580927726,9.797958971132712,11.430952132988164,0.0
6,DATA,BH08-HSINCHU,1.0,0.12,0.27,0.0023,,0.0078,,,,,-0.125,-0.2143,,,,,,,,,0.83,0.2711,,0.2632,1.83,2.16,0.98,0.2689,0.83,0.0066,0.0247,0.0012,273.6043,0.8368,,,0.025,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.12,0.8518518518518517,0.271326,2.4000000000000057,1.2,1.2000000000000057,BH08-HSINCHU,1.0,0.2,0.008,0.271526,88.81157999999999,18.60727019653226,74.00964999999964,15.506058497110141,0.8546182828860831,0.024542067334508373,0.025266975320110286,0.6578494757892981,49.15971144186232,2.118785630100886,0.8000000000000038,246.47515087732418,24.647515087732415,5.360261821238079,7.092281428719138,2.946001597178535,20.025052910167116,0.2757390000847147,0.2910413549935332,39.60200423281337,30.803507407423396,,,5.366563145999508,7.155417527999344,8.944271909999179,10.733126291999016,12.52198067399885,0.0
7,DATA,BH08-HSINCHU,1.0,0.14,0.237,0.0024,,-0.011,,,,,-0.125,-0.2143,,,,,,,,,0.99,0.2347,,0.2457,1.83,2.52,1.15,0.2321,1.0,-0.0124,-0.0533,0.0014,202.4635,1.013,,,-0.053,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.14,1.0126582278481013,0.23512999999999998,2.8000000000000114,1.4000000000000001,1.4000000000000112,BH08-HSINCHU,1.0,0.2,-0.010799999999999999,0.23532999999999998,76.7349,16.74863681798042,54.81064285714241,11.96331201284306,1.0321248871113406,-0.0533723582834761,-0.052466348428159816,0.6902177658754154,44.084249541681835,2.2034827383724385,0.9333333333333408,200.3015583706576,20.030155837065763,5.284301330132708,7.2733946384653665,3.0950255292672093,11.781961271537334,-6.523961357475552,-6.854616938441763,38.94255690172299,29.649474578015226,,,5.796550698475799,7.728734264634398,9.660917830792998,11.593101396951598,13.525284963110197,0.0
8,DATA,BH08-HSINCHU,1.0,0.16,0.19,0.002,,-0.0134,,,,,-0.1786,-0.25,,,,,,,,,1.05,0.188,,0.2014,1.83,2.88,1.31,0.1851,1.07,-0.0149,-0.0807,0.0016,141.2842,1.083,,,-0.079,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.16,1.0526315789473684,0.187722,3.200000000000017,1.6,1.600000000000017,BH08-HSINCHU,1.0,0.2,-0.0132,0.187922,60.958259999999996,14.190836594796307,38.09891249999959,8.869272871747597,1.0827080694232416,-0.08129111975807764,-0.08012039713731987,0.7213236378975937,36.335927024906084,2.2848663954176325,1.066666666666678,150.20818885799721,15.02081888579972,,,3.140662386343672,0.49926644708775314,-16.066546140648754,-16.773574612034697,38.03994131576702,28.069897302592285,,,6.1967733539319,8.2623644719092,10.3279555898865,12.3935467078638,14.459137825841099,0.0
9,DATA,BH08-HSINCHU,1.0,0.18,0.104,0.0022,,-0.0065,,,,,-0.1786,-0.25,,,,,,,,,2.07,0.1031,,0.1097,1.83,3.24,1.47,0.0999,2.09,-0.0083,-0.0831,0.0018,67.7534,2.1629,,,-0.081,,,,,,,,,BH08-HSINCHU,DATA,PC,200141.0,10.0,21.0,,N,,,,,PDE,ISO 22476-1:2012,,0.83,0.009,,2022-05-31T09:00,,,,0.0,STROKE,BB,0.971,0.256,0.0,0.0,,,0.888,0.012,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_34,0.0,9.2,Silty Sand,SILT,20.0,0.5,,,,215.0,184.0,184.0,-0.18,2.1153846153846154,0.102895,3.6000000000000227,1.7999999999999998,1.800000000000023,BH08-HSINCHU,1.0,0.2,-0.0063,0.103095,32.833349999999996,9.089322143081757,18.240749999999764,5.049623412823134,2.2111663902708685,-0.08358930459741178,-0.0814111261872456,0.8273134614770556,27.558185394767126,2.5627958868663887,1.2000000000000153,77.51702321999223,7.751702321999221,,,2.8615171122230287,-25.072145147936215,-38.25618699946804,-39.35256642397195,35.994228388165105,24.48989967928893,,,6.5726706900620355,8.763560920082714,10.954451150103392,13.145341380124071,15.33623161014475,0.0
